Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
179; 7.171647; 0.000218; 0.014151; 4.234180; 2.468588; 0.000805; 0.453647; 13.943798; 0.000059
180; 7.227721; 0.000218; 0.014335; 4.290519; 2.440741; 0.000925; 0.480934; 13.835619; 0.000049
181; 7.217680; 0.000221; 0.014521; 4.243962; 2.488382; 0.000851; 0.469692; 13.854868; 0.000052
182; 7.262944; 0.000214; 0.014622; 4.327609; 2.466678; 0.000966; 0.452807; 13.768522; 0.000048
183; 7.314190; 0.000244; 0.015959; 4.287493; 2.552387; 0.000882; 0.457176; 13.672054; 0.000048
184; 7.372348; 0.000211; 0.014169; 4.397184; 2.470200; 0.000922; 0.489611; 13.564199; 0.000050
185; 7.335105; 0.000246; 0.015416; 4.346973; 2.533563; 0.000919; 0.437940; 13.633070; 0.000049
186; 7.389822; 0.000215; 0.014104; 4.417798; 2.458872; 0.000867; 0.497921; 13.532126; 0.000045
187; 7.425977; 0.000217; 0.014555; 4.431677; 2.503198; 0.000836; 0.475422; 13.466241; 0.000072
188; 7.506511; 0.000239; 0.015252; 4.509536; 2.511531; 0.000853; 0.469046; 13.321769; 0.000054
189; 7.475626; 0.000225; 0.014750; 4.468122; 2.511788; 0.000862; 0.479827; 13.376807; 0.000051
190; 7.478435; 0.000261; 0.014546; 4.470888; 2.525431; 0.000915; 0.466342; 13.371781; 0.000052
191; 7.532914; 0.000226; 0.014952; 4.512475; 2.537255; 0.000876; 0.467083; 13.275075; 0.000046
192; 7.610447; 0.000212; 0.015156; 4.546735; 2.596095; 0.000911; 0.451285; 13.139832; 0.000055
193; 7.570854; 0.000231; 0.015337; 4.668408; 2.574236; 0.000834; 0.311751; 13.208549; 0.000058
194; 7.631289; 0.000234; 0.015684; 4.542220; 2.605048; 0.000814; 0.467239; 13.103946; 0.000051
195; 7.691229; 0.000230; 0.016530; 4.592481; 2.647838; 0.000899; 0.433206; 13.001824; 0.000044
196; 7.742099; 0.000222; 0.015225; 4.591094; 2.649409; 0.000900; 0.485192; 12.916394; 0.000056
197; 7.725136; 0.000245; 0.014339; 4.716488; 2.521414; 0.000892; 0.471697; 12.944756; 0.000060
198; 7.749185; 0.000217; 0.014826; 4.644799; 2.621713; 0.000879; 0.466702; 12.904583; 0.000049
199; 7.799300; 0.000216; 0.014624; 4.735463; 2.572041; 0.000838; 0.476060; 12.821664; 0.000057
200; 7.825612; 0.000213; 0.015361; 4.727615; 2.593795; 0.000864; 0.487716; 12.778553; 0.000049
201; 7.827908; 0.000214; 0.014020; 4.757713; 2.574360; 0.000862; 0.480698; 12.774805; 0.000042
202; 7.890343; 0.000231; 0.015133; 4.817359; 2.591289; 0.000849; 0.465431; 12.673720; 0.000050
203; 7.952784; 0.000239; 0.014431; 4.960753; 2.535045; 0.000890; 0.441373; 12.574212; 0.000052
204; 7.906048; 0.000217; 0.015241; 4.833623; 2.624732; 0.000850; 0.431328; 12.648544; 0.000057
205; 7.936519; 0.000223; 0.015725; 4.865468; 2.627807; 0.000865; 0.426378; 12.599982; 0.000052
206; 7.969882; 0.000258; 0.014624; 4.925254; 2.590121; 0.000867; 0.438697; 12.547238; 0.000060
207; 8.087164; 0.000220; 0.015541; 5.051998; 2.585165; 0.000930; 0.433252; 12.365274; 0.000057
208; 8.048273; 0.000215; 0.015282; 4.967608; 2.638367; 0.000879; 0.425882; 12.425026; 0.000040
209; 8.078433; 0.000218; 0.015431; 4.997996; 2.643677; 0.000879; 0.420180; 12.378639; 0.000052
210; 8.102490; 0.000229; 0.015320; 5.094934; 2.599646; 0.000983; 0.391328; 12.341886; 0.000051
211; 8.195619; 0.000232; 0.015134; 5.100711; 2.636763; 0.000884; 0.441841; 12.201641; 0.000055
212; 8.160364; 0.000261; 0.015551; 5.079810; 2.636006; 0.000806; 0.427881; 12.254355; 0.000050
213; 8.209382; 0.000212; 0.015046; 5.116031; 2.648850; 0.000900; 0.428282; 12.181185; 0.000060
214; 8.292267; 0.000243; 0.014776; 5.248135; 2.584948; 0.000881; 0.443234; 12.059428; 0.000050
