Iterations; Total; Bailout Calculation; Kernel Enqueue; Kernel Run; Texture Generation; Unmap Buffer; Pixel Display; Frames Per Second; Overhead
39; 3.406829; 0.000138; 0.009612; 0.229551; 1.890817; 0.001820; 1.274805; 29.352807; 0.000086
40; 3.407775; 0.000135; 0.009660; 0.223974; 1.865393; 0.001859; 1.306662; 29.344658; 0.000093
41; 3.440530; 0.000127; 0.009163; 0.256988; 1.842770; 0.001411; 1.329973; 29.065288; 0.000098
42; 3.423532; 0.000130; 0.009720; 0.241110; 1.887195; 0.001562; 1.283712; 29.209602; 0.000103
43; 3.420153; 0.000141; 0.009924; 0.246463; 1.942844; 0.001504; 1.219184; 29.238461; 0.000093
44; 3.420431; 0.000162; 0.010196; 0.251074; 2.271977; 0.002281; 0.884642; 29.236084; 0.000098
45; 3.416070; 0.000144; 0.010823; 0.264383; 1.964445; 0.001800; 1.174386; 29.273408; 0.000090
46; 3.438976; 0.000128; 0.009261; 0.250155; 1.916379; 0.001356; 1.261557; 29.078422; 0.000140
47; 3.471371; 0.000151; 0.011031; 0.243425; 1.987276; 0.001630; 1.227754; 28.807059; 0.000105
48; 3.442886; 0.000162; 0.010322; 0.256903; 2.002733; 0.001467; 1.171188; 29.045399; 0.000110
49; 3.490296; 0.000163; 0.010141; 0.262264; 2.000183; 0.001504; 1.215943; 28.650864; 0.000098
50; 3.523572; 0.000138; 0.009982; 0.229386; 1.980404; 0.001433; 1.302137; 28.380291; 0.000092
51; 3.654461; 0.000140; 0.010514; 0.260143; 1.959021; 0.001239; 1.423303; 27.363819; 0.000100
52; 3.757036; 0.000144; 0.010583; 0.222049; 2.082893; 0.001533; 1.439733; 26.616730; 0.000100
53; 3.690797; 0.000133; 0.009681; 0.236051; 1.928518; 0.001073; 1.515240; 27.094420; 0.000101
54; 3.780339; 0.000167; 0.011086; 0.242336; 1.896994; 0.001283; 1.628378; 26.452654; 0.000095
55; 4.155523; 0.000158; 0.009674; 0.241455; 1.876229; 0.001119; 2.026795; 24.064363; 0.000092
56; 4.321198; 0.000134; 0.009036; 0.278184; 1.782411; 0.001138; 2.250214; 23.141733; 0.000080
57; 4.603854; 0.000123; 0.008253; 0.286082; 1.782477; 0.001014; 2.525812; 21.720932; 0.000093
58; 4.687595; 0.000135; 0.010344; 0.287935; 2.060159; 0.001200; 2.327718; 21.332901; 0.000104
59; 4.707638; 0.000128; 0.008390; 0.296198; 1.802586; 0.001071; 2.599177; 21.242076; 0.000087
60; 4.756066; 0.000127; 0.008077; 0.259444; 1.787097; 0.000931; 2.700302; 21.025782; 0.000087
